,顧客ID,商品コード,売上単価,数量,売上,明細ID
5871,53332341,1A1501,105840,1,105840,530000896052
5876,53332341,1B2201,28080,1,28080,530000896057
5881,53332342,1A1601,82080,1,82080,530000900761
5911,53342103,1A1501,105840,1,105840,530000900921
5915,53412622,1B2201,28080,1,28080,530000901041
5927,53412745,200006,8640,1,8640,530000897091
5929,53412746,200071,16200,1,16200,530000897471
5948,53452149,200006,8640,1,8640,530000900541
5953,53452156,200071,16200,1,16200,530000898941
5962,53512176,200006,8640,1,8640,530000903221
5968,53512425,1B2201,28080,1,28080,530000898415
5974,53512486,200071,16200,1,16200,530000900561
5992,53522148,200071,16200,1,16200,530000897002
5996,53552026,1B2201,28080,1,28080,320000506822
6012,53612357,1B2201,28080,1,28080,530000902513
6019,53622007,1B2201,28080,1,28080,530000901052
6035,53632245,200006,8640,1,8640,20001635311
6036,53632266,1B2201,28080,1,28080,530000901481
6043,53632315,200071,16200,1,16200,530000901911
6050,53712130,200006,8640,1,8640,360000666801
6054,53712251,200071,16200,1,16200,530000896981
6056,53712304,200006,8640,1,8640,1360000068671
6063,53712391,200071,16200,1,16200,530000897072
6067,53712392,1A1501,105840,1,105840,530000898451
6072,53712392,1B2201,28080,1,28080,530000898456
6083,53712394,1A1501,105840,1,105840,530000902911
6084,53712394,1B2201,28080,1,28080,530000902912
6090,53722194,200006,8640,1,8640,20001628122
6101,53722326,1A1601,82080,1,82080,530000897151
6108,53722329,1A1601,82080,1,82080,530000899302
6115,53722329,1B2201,28080,1,28080,530000900341
6122,53732032,1B2201,28080,1,28080,530000898491
6137,53752184,1A1501,105840,1,105840,530000898421
6138,53752184,1B2201,28080,1,28080,530000898422
6165,53812455,1A1501,105840,1,105840,530000901171
6174,53852232,1B2201,28080,1,28080,530000899331
6180,53852246,1A1501,105840,1,105840,530000899051
6189,53912194,200071,16200,1,16200,530000895301
6205,54332041,200006,8640,1,8640,540000162654
6208,54332042,1A1601,82080,1,82080,540000162851
6210,54332042,1B2201,28080,1,28080,540000162853
6218,54512173,1B2201,28080,1,28080,540000162461
6227,54522036,1B2201,28080,1,28080,2400000004082
6234,54712083,200006,8640,1,8640,540000163041
6246,55112156,200006,8640,1,8640,550000200201
6249,55122044,200006,8640,1,8640,550000201651
6259,55152257,1A1501,105840,1,105840,550000201671
6264,55232033,200006,8640,1,8640,1430000224661
6266,55232040,200006,8640,1,8640,530000897101
